airfoil,panel,cn,M_dr,u_M
64A206,"MIDDLE - camber series, labels as printe",0.6,0.793,0.003
64A206,"MIDDLE - camber series, labels as printe",0.65,0.781,0.004
64A206,"MIDDLE - camber series, labels as printe",0.7,0.758,0.005
64A506,"MIDDLE - camber series, labels as printe",0.25,0.82,0.004
64A506,"MIDDLE - camber series, labels as printe",0.3,0.819,0.003
64A506,"MIDDLE - camber series, labels as printe",0.35,0.819,0.003
64A506,"MIDDLE - camber series, labels as printe",0.4,0.817,0.004
64A506,"MIDDLE - camber series, labels as printe",0.5,0.795,0.003
64A506,"MIDDLE - camber series, labels as printe",0.6,0.758,0.003
64A506,"MIDDLE - camber series, labels as printe",0.7,0.736,0.003
64A506,"MIDDLE - camber series, labels as printe",0.8,0.726,0.004
64A506,"MIDDLE - camber series, labels as printe",0.9,0.712,0.003
64A506,"MIDDLE - camber series, labels as printe",0.95,0.704,0.004
64A506,"MIDDLE - camber series, labels as printe",0.97,0.7,0.004
16-009,BOTTOM - thickness-distribution series (,0,0.859,0.003
16-009,BOTTOM - thickness-distribution series (,0.1,0.858,0.003
16-009,BOTTOM - thickness-distribution series (,0.2,0.854,0.003
16-009,BOTTOM - thickness-distribution series (,0.3,0.848,0.003
16-009,BOTTOM - thickness-distribution series (,0.4,0.836,0.003
16-009,BOTTOM - thickness-distribution series (,0.45,0.813,0.006
16-009,BOTTOM - thickness-distribution series (,0.5,0.79,0.006
16-009,BOTTOM - thickness-distribution series (,0.53,0.777,0.006
64A009,BOTTOM - thickness-distribution series (,0,0.84,0.003
64A009,BOTTOM - thickness-distribution series (,0.1,0.837,0.003
64A009,BOTTOM - thickness-distribution series (,0.2,0.83,0.003
64A009,BOTTOM - thickness-distribution series (,0.3,0.821,0.003
64A009,BOTTOM - thickness-distribution series (,0.4,0.801,0.005
64A009,BOTTOM - thickness-distribution series (,0.45,0.788,0.006
64A009,BOTTOM - thickness-distribution series (,0.5,0.771,0.006
64A009,BOTTOM - thickness-distribution series (,0.51,0.765,0.006
63A009,BOTTOM - thickness-distribution series (,0,0.834,0.003
63A009,BOTTOM - thickness-distribution series (,0.1,0.829,0.003
63A009,BOTTOM - thickness-distribution series (,0.2,0.825,0.005
63A009,BOTTOM - thickness-distribution series (,0.3,0.814,0.004
63A009,BOTTOM - thickness-distribution series (,0.4,0.8,0.005
63A009,BOTTOM - thickness-distribution series (,0.45,0.786,0.006
63A009,BOTTOM - thickness-distribution series (,0.5,0.768,0.006
63A009,BOTTOM - thickness-distribution series (,0.51,0.761,0.006
65A009,BOTTOM - thickness-distribution series (,0,0.849,0.003
65A009,BOTTOM - thickness-distribution series (,0.1,0.837,0.004
65A009,BOTTOM - thickness-distribution series (,0.2,0.824,0.005
65A009,BOTTOM - thickness-distribution series (,0.3,0.809,0.003
65A009,BOTTOM - thickness-distribution series (,0.4,0.793,0.004
65A009,BOTTOM - thickness-distribution series (,0.45,0.784,0.004
65A009,BOTTOM - thickness-distribution series (,0.5,0.75,0.005
